Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Country,Latitude,Longitude
Porsche,718 Cayman GT4,2022,4,414,309,4.2,"102,550",Jerman,45.5349844,13.7501681
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"76,400",Italia,42.6384261,12.674297
Audi,RS7,2021,4,591,590,3.5,"114,000",Jerman,45.5349844,13.7501681
BMW,M5,2022,4.4,600,553,3.2,"103,500",Jerman,45.5349844,13.7501681
Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"69,000",Amerika,54.6756129,17.4396446
Ford,GT,2022,3.5,660,550,3,"500,000",Amerika,54.6756129,17.4396446
Lamborghini,Aventador,2021,6.5,770,531,2.8,"417,826",Italia,42.6384261,12.674297
McLaren,Artura,2021,3,671,531,3,"225,000",Inggris,54.7023545,-3.2765753
Mercedes-Benz,SLS AMG,2021,4,577,516,3.6,"247,500",Jerman,45.5349844,13.7501681
Nissan,370Z Nismo,2021,3.7,350,276,4.8,"45,790",Jepang,36.5748441,139.2394179
Porsche,Taycan,2022,Electric,616,774,2.6,"79,900",Jerman,45.5349844,13.7501681
Tesla,Model S,2022,Electric,1020,1050,1.98,"119,000",Amerika,54.6756129,17.4396446
Aston Martin,DBS Superleggera,2022,5.2,715,664,3.2,"307,820",Inggris,54.7023545,-3.2765753
Bentley,Continental GT,2022,4,542,568,3.4,"207,825",Inggris,54.7023545,-3.2765753
Bugatti,Chiron,2021,8,1479,1180,2.3,"2,998,000",Prancis,46.603354,1.8883335
McLaren,570S,2021,3.8,562,443,3.1,"202,500",Inggris,54.7023545,-3.2765753
Porsche,Taycan Turbo S,2021,Electric,750,774,2.6,"185,000",Jerman,45.5349844,13.7501681
Lamborghini,Aventador S,2021,6.5,730,509,2.9,"417,826",Italia,42.6384261,12.674297
Ferrari,F8 Tributo,2022,3.9,710,568,2.8,"276,550",Italia,42.6384261,12.674297
Audi,RS 7,2022,4,591,590,3.5,"114,000",Jerman,45.5349844,13.7501681
BMW,M2 CS,2022,3,444,406,4,"84,595",Jerman,45.5349844,13.7501681
Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.2,"275,000",Jerman,45.5349844,13.7501681
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000",Amerika,54.6756129,17.4396446
Ford,GT,2022,3.5,660,550,3,"500,000",Amerika,54.6756129,17.4396446
Jaguar,F-Type,2021,5,575,516,3.5,"103,200",Inggris,54.7023545,-3.2765753
Lotus,Evora GT,2021,3.5,416,317,3.8,"96,950",Inggris,54.7023545,-3.2765753
Maserati,GranTurismo,2022,4.7,454,384,4.8,"134,300",Italia,42.6384261,12.674297
McLaren,765LT,2021,4,755,590,2.8,"358,000",Inggris,54.7023545,-3.2765753
Nissan,370Z,2021,3.7,332,270,5,"30,000",Jepang,36.5748441,139.2394179
Pagani,Huayra,2021,6,730,738,3,"2,600,000",Italia,42.6384261,12.674297
Porsche,Panamera Turbo S,2021,4,620,604,2.9,"180,000",Jerman,45.5349844,13.7501681
Tesla,Model S Plaid,2021,Electric,1020,1050,1.9,"131,100",Amerika,54.6756129,17.4396446
Aston Martin,DB11,2021,4,503,513,4,"201,495",Inggris,54.7023545,-3.2765753
Dodge,Challenger Hellcat Redeye,2022,6.2,797,707,3.4,"82,190",Amerika,54.6756129,17.4396446
Lotus,Evora,2021,3.5,416,317,3.8,"96,950",Inggris,54.7023545,-3.2765753
Acura,NSX,2021,3.5,573,476,2.7,"159,495",Jepang,36.5748441,139.2394179
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"76,950",Italia,42.6384261,12.674297
Bentley,Continental GT,2021,6,626,664,3.3,"202,500",Inggris,54.7023545,-3.2765753
Jaguar,F-Type,2022,3,380,339,4.9,"70,100",Inggris,54.7023545,-3.2765753
Koenigsegg,Jesko,2022,5,1280,1015,2.5,"3,000,000",Swedia,59.6749712,14.5208584
Lexus,LC 500,2021,5,471,398,4.4,"92,950",Jepang,36.5748441,139.2394179
Maserati,GranTurismo,2022,4.7,454,384,4.8,"132,795",Italia,42.6384261,12.674297
McLaren,GT,2022,4,612,465,3.1,"215,500",Inggris,54.7023545,-3.2765753
Mercedes-AMG,C 63 S Coupe,2022,4,503,516,3.7,"80,900",Jerman,45.5349844,13.7501681
Porsche,718 Cayman,2021,2,300,280,4.9,"59,900",Jerman,45.5349844,13.7501681
Rolls-Royce,Wraith,2021,6.8,624,605,4.3,"330,000",Inggris,54.7023545,-3.2765753
Tesla,Roadster,2022,-,1000+,-,1.9,"200,000",Amerika,54.6756129,17.4396446
Chevrolet,Camaro SS,2021,6.2,455,455,4,"40,000",Amerika,54.6756129,17.4396446
Ford,GT,2022,3.5,660,550,3,"500,000",Amerika,54.6756129,17.4396446
Acura,NSX,2022,3.5,573,476,2.7,"157,500",Jepang,36.5748441,139.2394179
Aston Martin,DB11,2021,5.2,630,516,3.7,"209,000",Inggris,54.7023545,-3.2765753
Bentley,Continental GT,2022,4,542,568,3.9,"202,500",Inggris,54.7023545,-3.2765753
Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000",Prancis,46.603354,1.8883335
Dodge,Challenger Hellcat,2022,6.2,717,656,3.5,"67,500",Amerika,54.6756129,17.4396446
Jaguar,F-Type,2021,5,575,516,3.5,"103,200",Inggris,54.7023545,-3.2765753
Koenigsegg,Jesko,2022,5,1280,1106,2.5,"2,800,000",Swedia,59.6749712,14.5208584
Lexus,LC,2021,5,471,398,4.4,"92,950",Jepang,36.5748441,139.2394179
Lotus,Evora GT,2021,3.5,416,317,3.8,"104,200",Inggris,54.7023545,-3.2765753
Maserati,GranTurismo,2021,4.7,454,384,4.7,"133,050",Italia,42.6384261,12.674297
McLaren,570S,2021,3.8,562,443,3.1,"196,350",Inggris,54.7023545,-3.2765753
Mercedes-Benz,AMG C63,2022,4,503,516,3.8,"69,900",Jerman,45.5349844,13.7501681
Pagani,Huayra BC,2021,6,791,774,2.7,"2,600,000",Italia,42.6384261,12.674297
Porsche,Cayman GT4,2022,4,414,309,4.2,"102,900",Jerman,45.5349844,13.7501681
Rimac,Nevera,2022,Electric,1914,1696,1.85,"2,400,000",Kroasia,45.3658443,15.6575209
Rolls-Royce,Wraith,2021,6.7,624,605,4.4,"338,000",Inggris,54.7023545,-3.2765753
Tesla,Roadster,2022,Electric,1000+,"10,000+",1.9,"200,000",Amerika,54.6756129,17.4396446
Acura,NSX,2022,3.5,573,476,2.7,"157,500",Jepang,36.5748441,139.2394179
Aston Martin,Vantage,2021,4,503,505,3.5,"150,000",Inggris,54.7023545,-3.2765753
Bentley,Continental GT,2021,6,626,664,3.6,"218,400",Inggris,54.7023545,-3.2765753
Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797,707,3.5,"73,000",Amerika,54.6756129,17.4396446
Jaguar,F-Type R,2022,5,575,516,3.5,"103,200",Inggris,54.7023545,-3.2765753
Lexus,LC 500,2021,5,471,398,4.4,"92,950",Jepang,36.5748441,139.2394179
Lotus,Evora GT,2021,3.5,416,317,3.8,"104,970",Inggris,54.7023545,-3.2765753
Maserati,GranTurismo,2021,4.7,454,384,4.8,"132,400",Italia,42.6384261,12.674297
Porsche,Cayman GT4,2021,4,414,309,4.2,"101,200",Jerman,45.5349844,13.7501681
Tesla,Roadster,2023,Electric,"1,000+",737,< 1.9,"200,000",Amerika,54.6756129,17.4396446
Alpine,A110,2021,1.8,288,236,4.4,"71,500",Prancis,46.603354,1.8883335
Audi,RS7,2021,4,591,590,3.5,"114,000",Jerman,45.5349844,13.7501681
BMW,M4,2021,3,473,406,4.1,"71,800",Jerman,45.5349844,13.7501681
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,195",Amerika,54.6756129,17.4396446
Dodge,Viper,2017,8.4,645,600,3.3,"118,795",Amerika,54.6756129,17.4396446
Ferrari,Portofino,2021,3.9,591,560,3.5,"218,750",Italia,42.6384261,12.674297
Jaguar,F-Type,2022,3,296,295,5.4,"61,600",Inggris,54.7023545,-3.2765753
Lamborghini,Aventador SVJ,2021,6.5,770,531,2.8,"517,700",Italia,42.6384261,12.674297
McLaren,600LT,2021,3.8,592,457,2.8,"240,000",Inggris,54.7023545,-3.2765753
Aston Martin,DB11,2021,5.2,630,516,3.5,"221,400",Inggris,54.7023545,-3.2765753
Bentley,Continental GT,2021,6,626,664,3.6,"202,500",Inggris,54.7023545,-3.2765753
Bugatti,Chiron,2022,8,1500,1180,2.4,"3,000,000",Prancis,46.603354,1.8883335
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,100",Amerika,54.6756129,17.4396446
Jaguar,F-Type R,2022,5,575,516,3.5,"103,200",Inggris,54.7023545,-3.2765753
Koenigsegg,Jesko,2022,5,1280,1015,2.5,"2,800,000",Swedia,59.6749712,14.5208584
Lexus,LC 500,2021,5,471,398,4.4,"92,950",Jepang,36.5748441,139.2394179
Lotus,Evora GT,2021,3.5,416,317,3.8,"100,450",Inggris,54.7023545,-3.2765753
Maserati,GranTurismo,2021,4.7,454,384,4.8,"150,980",Italia,42.6384261,12.674297
McLaren,Artura,2022,3,671,531,3,"225,000",Inggris,54.7023545,-3.2765753
Mercedes-AMG,C 63 S,2022,4,503,516,3.7,"81,550",Jerman,45.5349844,13.7501681
Pagani,Huayra,2021,6,764,738,2.8,"3,500,000",Italia,42.6384261,12.674297
Porsche,Cayman GT4,2021,4,414,309,4.2,"102,550",Jerman,45.5349844,13.7501681
Rimac,C_Two,2022,,1888,1696,1.8,"2,400,000",Kroasia,45.3658443,15.6575209
Rolls-Royce,Wraith,2021,6.6,624,642,4.4,"330,000",Inggris,54.7023545,-3.2765753
Tesla,Roadster,2022,,10000+,0,1.9,"200,000",Amerika,54.6756129,17.4396446
Toyota,Supra,2022,3,382,368,3.9,"43,090",Jepang,36.5748441,139.2394179
Acura,NSX,2021,3.5,573,476,2.7,"157,500",Jepang,36.5748441,139.2394179
Aston Martin,Vantage,2021,4,503,505,3.5,"146,000",Inggris,54.7023545,-3.2765753
Bentley,Continental GT,2022,4,542,568,3.9,"207,825",Inggris,54.7023545,-3.2765753
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,195",Amerika,54.6756129,17.4396446
Jaguar,F-Type,2022,3,380,339,4.8,"62,250",Inggris,54.7023545,-3.2765753
Lexus,LC 500,2022,5,471,398,4.4,"92,000",Jepang,36.5748441,139.2394179
Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000",Inggris,54.7023545,-3.2765753
Maserati,GranTurismo,2022,4.7,454,384,4.7,"134,300",Italia,42.6384261,12.674297
McLaren,570S,2022,3.8,562,443,2.9,"204,550",Inggris,54.7023545,-3.2765753
Porsche,Cayman GT4,2021,4,414,309,4.2,"102,000",Jerman,45.5349844,13.7501681
Tesla,Model S Plaid,2021,Electric (tri-motor),1020,1050,1.9,"141,190",Amerika,54.6756129,17.4396446
Audi,RS 5,2021,2.9,444,443,3.5,"75,100",Jerman,45.5349844,13.7501681
BMW,M2 Competition,2022,3,405,406,4,"59,895",Jerman,45.5349844,13.7501681
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,995",Amerika,54.6756129,17.4396446
Dodge,Viper ACR,2017,8.4,645,600,3.3,"126,190",Amerika,54.6756129,17.4396446
Ford,GT,2021,3.5,660,550,2.9,"500,000",Amerika,54.6756129,17.4396446
Porsche,Taycan 4S,2022,2.5,482,472,3.8,"102,900",Jerman,45.5349844,13.7501681
Lamborghini,Aventador S,2021,6.5,730,509,2.9,"417,650",Italia,42.6384261,12.674297
Aston Martin,DB11,2021,5.2,630,516,3.5,"205,000",Inggris,54.7023545,-3.2765753
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"81,250",Italia,42.6384261,12.674297
Audi,RS7 Sportback,2022,4,591,590,3.5,"115,045",Jerman,45.5349844,13.7501681
BMW,M4 Competition,2021,3,503,479,3.9,"75,695",Jerman,45.5349844,13.7501681
Chevrolet,Camaro SS,2022,6.2,455,455,4.1,"42,000",Amerika,54.6756129,17.4396446
Dodge,Charger Hellcat,2021,6.2,717,650,3.6,"71,490",Amerika,54.6756129,17.4396446
Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"274,280",Italia,42.6384261,12.674297
Ford,GT,2021,3.5,660,550,2.8,"500,000",Amerika,54.6756129,17.4396446
Jaguar,F-Type R,2021,5,575,516,3.5,"103,200",Inggris,54.7023545,-3.2765753
Koenigsegg,Jesko Absolut,2022,5,1600,1106,2.1,"2,800,000",Swedia,59.6749712,14.5208584
Lexus,LC 500,2021,5,471,398,4.4,"93,050",Jepang,36.5748441,139.2394179
Lotus,Evija,2022,Electric,1973,1254,2.5,"2,750,000",Inggris,54.7023545,-3.2765753
McLaren,GT,2022,4,612,465,3.2,"210,000",Inggris,54.7023545,-3.2765753
Mercedes-Benz,AMG GT Black Series,2021,4,720,590,3.2,"326,050",Jerman,45.5349844,13.7501681
Porsche,Cayman GT4,2021,4,414,309,4.2,"102,500",Jerman,45.5349844,13.7501681
Lamborghini,Aventador,2021,6.5,770,531,2.8,"417,650",Italia,42.6384261,12.674297
Ferrari,Portofino,2021,3.9,591,560,3.3,"218,750",Italia,42.6384261,12.674297
Audi,TT RS,2022,2.5,394,354,3.6,"69,000",Jerman,45.5349844,13.7501681
McLaren,600LT Spider,2021,3.8,592,457,2.8,"256,500",Inggris,54.7023545,-3.2765753
BMW,M4,2022,3,473,406,4.1,"72,800",Jerman,45.5349844,13.7501681
Mercedes-Benz,AMG C 63,2022,4,503,516,3.8,"70,000",Jerman,45.5349844,13.7501681
Chevrolet,Camaro SS 1LE,2021,6.2,455,455,4,"44,500",Amerika,54.6756129,17.4396446
Ford,Mustang Mach 1,2021,5,480,420,4,"51,000",Amerika,54.6756129,17.4396446
Nissan,370Z Nismo,2021,3.7,350,276,5.2,"45,000",Jepang,36.5748441,139.2394179
Aston Martin,Vantage,2021,4,503,505,3.5,"146,000",Inggris,54.7023545,-3.2765753
Bugatti,Chiron,2022,8,1500,1180,2.4,"3,000,000",Prancis,46.603354,1.8883335
Koenigsegg,Jesko,2021,5,1262,1106,2.5,"3,000,000",Swedia,59.6749712,14.5208584
Pagani,Huayra,2021,6,764,738,2.6,"2,600,000",Italia,42.6384261,12.674297
McLaren,Speedtail,2021,4,1035,848,2.5,"2,300,000",Inggris,54.7023545,-3.2765753
Lamborghini,Sián,2021,6.5,819,531,2.8,"3,600,000",Italia,42.6384261,12.674297
Rimac,C_Two,2021,Electric,1914,1732,1.8,"2,400,000",Kroasia,45.3658443,15.6575209
Porsche,Cayman,2022,2,300,280,4.9,"59,900",Jerman,45.5349844,13.7501681
Lamborghini,Aventador,2021,6.5,770,531,2.8,"393,695",Italia,42.6384261,12.674297
Ferrari,Portofino,2021,3.9,591,413,3.5,"215,000",Italia,42.6384261,12.674297
Audi,RS 5,2022,2.9,444,443,3.7,"75,100",Jerman,45.5349844,13.7501681
McLaren,GT,2021,4,620,465,3.1,"210,000",Inggris,54.7023545,-3.2765753
BMW,Z4 M40i,2022,3,382,369,4.3,"63,700",Jerman,45.5349844,13.7501681
Mercedes-Benz,SLC 43,2020,3,385,384,4.6,"62,000",Jerman,45.5349844,13.7501681
Chevrolet,Camaro SS,2022,6.2,455,455,4.3,"42,500",Amerika,54.6756129,17.4396446
Ford,Mustang GT,2022,5,460,420,4.3,"36,120",Amerika,54.6756129,17.4396446
Nissan,370Z Nismo,2020,3.7,350,276,4.6,"45,790",Jepang,36.5748441,139.2394179
Aston Martin,Vantage,2022,4,503,505,3.6,"146,000",Inggris,54.7023545,-3.2765753
Bentley,Continental GT,2021,4,626,664,3.3,"220,000",Inggris,54.7023545,-3.2765753
Porsche,718 Boxster,2022,2,300,280,4.9,"62,000",Jerman,45.5349844,13.7501681
Lamborghini,Urus,2021,4,641,627,3.6,"222,004",Italia,42.6384261,12.674297
Ferrari,F8 Spider,2021,3.9,710,568,2.9,"280,000",Italia,42.6384261,12.674297
Audi,TT RS,2022,2.5,394,354,3.6,"69,900",Jerman,45.5349844,13.7501681
McLaren,570S,2021,3.8,562,443,2.9,"208,800",Inggris,54.7023545,-3.2765753
BMW,M4,2022,3,473,406,4,"72,800",Jerman,45.5349844,13.7501681
Porsche,718 Cayman,2022,2,300,280,4.9,"60,500",Jerman,45.5349844,13.7501681
Lamborghini,Aventador,2021,6.5,730,509,2.9,"393,695",Italia,42.6384261,12.674297
Ferrari,SF90 Stradale,2022,4,986,590,2.5,"625,000",Italia,42.6384261,12.674297
Audi,RS5,2022,2.9,444,443,3.7,"75,100",Jerman,45.5349844,13.7501681
McLaren,GT,2021,4,612,465,3.2,"208,800",Inggris,54.7023545,-3.2765753
BMW,M2,2022,3,405,406,4,"58,900",Jerman,45.5349844,13.7501681
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.6,"229,000",Jerman,45.5349844,13.7501681
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,000",Amerika,54.6756129,17.4396446
Ford,GT,2022,3.5,660,550,3,"500,000",Amerika,54.6756129,17.4396446
Nissan,370Z Nismo,2020,3.7,350,276,5.2,"46,200",Jepang,36.5748441,139.2394179
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.6,"71,000",Amerika,54.6756129,17.4396446
Aston Martin,DBS Superleggera,2021,5.2,715,663,3.2,"308,000",Inggris,54.7023545,-3.2765753
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"80,500",Italia,42.6384261,12.674297
Jaguar,F-Type R,2021,5,575,516,3.5,"105,900",Inggris,54.7023545,-3.2765753
Lotus,Evora GT,2020,3.5,416,317,3.8,"96,950",Inggris,54.7023545,-3.2765753
Maserati,GranTurismo,2019,4.7,454,384,4.7,"150,980",Italia,42.6384261,12.674297
Porsche,Panamera Turbo S,2022,4,630,604,2.9,"180,800",Jerman,45.5349844,13.7501681
Lamborghini,Urus,2021,4,641,627,3.2,"218,000",Italia,42.6384261,12.674297
Aston Martin,Vantage,2021,4,503,505,3.5,"146,000",Inggris,54.7023545,-3.2765753
Lotus,Evora,2021,3.5,416,317,3.8,"94,000",Inggris,54.7023545,-3.2765753
Alfa Romeo,4C Spider,2020,1.7,237,258,4.1,"67,150",Italia,42.6384261,12.674297
Jaguar,F-Type,2022,3,380,339,4.9,"70,900",Inggris,54.7023545,-3.2765753
Maserati,GranTurismo,2021,4.7,454,384,4.7,"134,300",Italia,42.6384261,12.674297
Porsche,Cayman GT4,2021,4,414,309,4.2,"100,200",Jerman,46.5026049,13.8359023
Audi,RS5 Coupe,2022,2.9,444,443,3.7,"76,450",Jerman,46.5026049,13.8359023
BMW,M2 Competition,2021,3,405,406,4,"58,900",Jerman,46.5026049,13.8359023
Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"64,000",Amerika,54.6756129,17.4396446
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"61,500",Amerika,54.6756129,17.4396446
Ford,GT,2021,3.5,647,550,2.8,"500,000",Amerika,54.6756129,17.4396446
Lexus,LC 500,2022,5,471,398,4.4,"92,950",Jepang,36.5748441,139.2394179
McLaren,570S,2022,3.8,562,443,3.1,"198,950",Inggris,54.7023545,-3.2765753
Mercedes-AMG,C63 S Coupe,2021,4,503,516,3.7,"77,950",Jerman,46.5026049,13.8359023
Nissan,370Z Nismo,2021,3.7,350,276,4.9,"45,790",Jepang,36.5748441,139.2394179
Porsche,718 Boxster,2021,2,300,280,4.9,"62,000",Jerman,46.5026049,13.8359023
Lamborghini,Aventador S,2021,6.5,729,507,2.9,"417,826",Italia,42.6384261,12.674297
Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"274,280",Italia,42.6384261,12.674297
Audi,TT RS Coupe,2021,2.5,394,354,3.6,"67,600",Jerman,46.5026049,13.8359023
BMW,M4 Coupe,2021,3,473,406,3.8,"71,800",Jerman,46.5026049,13.8359023
Acura,NSX,2021,3.5,573,476,2.7,"159,495",Jepang,36.5748441,139.2394179
Aston Martin,DBS Superleggera,2022,5.2,715,664,3.4,"314,500",Inggris,54.7023545,-3.2765753
Bentley,Continental GT,2022,6,626,664,3.3,"214,425",Inggris,54.7023545,-3.2765753
Bugatti,Chiron,2022,8,1500,1180,2.3,"3,000,000",Prancis,46.603354,1.8883335
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"71,490",Amerika,54.6756129,17.4396446
Jaguar,F-Type,2021,5,575,516,3.5,"105,900",Inggris,54.7023545,-3.2765753
Koenigsegg,Jesko,2021,5,1280,1106,2.5,"2,800,000",Swedia,59.6749712,14.5208584
Lexus,LC 500,2021,5,471,398,4.4,"92,950",Jepang,36.5748441,139.2394179
Lotus,Evora GT,2021,3.5,416,317,3.8,"104,400",Inggris,54.7023545,-3.2765753
Maserati,GranTurismo,2022,4.7,454,384,4.7,"150,980",Italia,42.6384261,12.674297
McLaren,Artura,2022,3,671,531,3,"225,000",Inggris,54.7023545,-3.2765753
Pagani,Huayra,2021,6,764,738,2.6,"2,600,000",Italia,42.6384261,12.674297
Porsche,Cayman GT4,2022,4,414,309,4.2,"102,000",Jerman,46.5026049,13.8359023
Rimac,C_Two,2021,Electric,1914,1696,1.9,"2,400,000",Kroasia,45.3658443,15.6575209
Rolls-Royce,Wraith,2021,6.8,624,605,4.4,"335,550",Inggris,54.7023545,-3.2765753
Tesla,Model S Plaid,2021,Electric,1020,1050,1.9,"141,990",Amerika,54.6756129,17.4396446
Toyota,GR Supra,2022,3,382,368,3.9,"43,090",Jepang,36.5748441,139.2394179
TVR,Griffith,2021,5,500,420,3.9,"157,500",Inggris,54.7023545,-3.2765753
Ultima,RS,2021,6.2,1200,1300,2.3,"220,000",Inggris,54.7023545,-3.2765753
W Motors,Fenyr SuperSport,2022,3.8,800,723,2.7,"1,550,000",Lebanon,40.375713,-76.4626118
Acura,NSX,2021,3.5,573,476,2.9,"157,500",Jepang,36.5748441,139.2394179
Aston Martin,DBS Superleggera,2022,5.2,715,663,3.2,"308,000",Inggris,54.7023545,-3.2765753
Bentley,Continental GT,2021,6,626,664,3.6,"202,500",Inggris,54.7023545,-3.2765753
Bugatti,Chiron,2021,8,1500,1180,2.3,"3,000,000",Prancis,46.603354,1.8883335
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"65,000",Amerika,54.6756129,17.4396446
Jaguar,F-Type,2021,3,380,339,4.9,"63,100",Inggris,54.7023545,-3.2765753
Lexus,LC 500,2021,5,471,398,4.4,"92,950",Jepang,36.5748441,139.2394179
Lotus,Evija,2022,Electric,1973,1254,2.5,"2,600,000",Inggris,54.7023545,-3.2765753
Maserati,GranTurismo,2021,4.7,454,384,4.8,"134,300",Italia,42.6384261,12.674297
Porsche,Taycan,2021,Electric,616,774,2.6,"185,000",Jerman,46.5026049,13.8359023
Rimac,C_Two,2022,Electric,1914,1696,1.9,"2,400,000",Kroasia,45.3658443,15.6575209
Tesla,Model S Plaid,2022,Electric,1020,1050,1.98,"140,000",Amerika,54.6756129,17.4396446
McLaren,Artura,2022,3,671,531,3,"225,000",Inggris,54.7023545,-3.2765753
Mercedes-Benz,AMG GT Black Series,2021,4,720,590,3.1,"325,000",Jerman,46.5026049,13.8359023
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000",Amerika,54.6756129,17.4396446
Ford,GT,2021,3.5,647,550,3,"500,000",Amerika,54.6756129,17.4396446
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"307,820",Inggris,54.7023545,-3.2765753
Jaguar,F-Type,2022,5,575,516,3.5,"103,200",Inggris,54.7023545,-3.2765753
Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797,707,3.5,"80,190",Amerika,54.6756129,17.4396446
Lotus,Evora GT,2022,3.5,416,317,3.8,"105,000",Inggris,54.7023545,-3.2765753
Alfa Romeo,4C Spider,2020,1.8,237,258,4.1,"68,745",Italia,42.6384261,12.674297
Subaru,WRX STI,2022,2.5,310,290,5.2,"38,170",Jepang,36.5748441,139.2394179
Acura,NSX,2022,3.5,573,476,2.7,"157,500",Jepang,36.5748441,139.2394179
Koenigsegg,Jesko,2021,5,1280,1015,2.5,"2,800,000",Swedia,59.6749712,14.5208584
Tesla,Model S Plaid,2022,Electric,1020,1050,1.98,"139,990",Amerika,54.6756129,17.4396446
Bugatti,Chiron Super Sport 300+,2022,8,1578,1180,2.3,"5,200,000",Prancis,46.603354,1.8883335
McLaren,Senna,2020,4,789,590,2.7,"1,500,000",Inggris,54.7023545,-3.2765753
Porsche,Taycan Turbo S,2022,Electric,750,774,2.6,"185,000",Jerman,46.5026049,13.8359023
Mercedes-Benz,SLS AMG Black Series,2014,6.2,622,468,3.5,"275,000",Jerman,46.5026049,13.8359023
Lexus,LC 500,2022,5,471,398,4.4,"93,050",Jepang,36.5748441,139.2394179
Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"65,000",Amerika,54.6756129,17.4396446
Audi,RS 7 Sportback,2022,4,591,590,3.5,"114,000",Jerman,46.5026049,13.8359023
Ford,GT,2022,3.5,660,550,3,"500,000",Amerika,54.6756129,17.4396446
BMW,M2 CS,2022,3,444,406,3.8,"84,595",Jerman,46.5026049,13.8359023
Porsche,Cayman GT4,2022,4,414,309,4.2,"102,550",Jerman,46.5026049,13.8359023
Lamborghini,Aventador,2022,6.5,770,531,2.8,"393,695",Italia,42.6384261,12.674297
Aston Martin,Vantage,2021,4,503,505,3.6,"146,000",Inggris,54.7023545,-3.2765753
Lotus,Evora GT,2021,3.5,416,317,3.8,"96,950",Inggris,54.7023545,-3.2765753
Porsche,Panamera Turbo S,2021,4,620,604,2.9,"180,000",Jerman,46.5026049,13.8359023
Lamborghini,Aventador S,2022,6.5,729,507,2.9,"460,247",Italia,42.6384261,12.674297
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Italia,42.6384261,12.674297
Audi,RS 6 Avant,2022,4,591,590,3.1,"110,045",Jerman,46.5026049,13.8359023
McLaren,570S,2021,3.8,562,443,3.1,"192,500",Inggris,54.7023545,-3.2765753
BMW,M5,2022,4.4,600,553,3.2,"103,500",Jerman,46.5026049,13.8359023
Mercedes-Benz,AMG C 63 S,2021,4,503,516,3.7,"77,400",Jerman,46.5026049,13.8359023
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",Amerika,54.6756129,17.4396446
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,195",Amerika,54.6756129,17.4396446
Ford,GT,2021,3.5,660,550,3,"500,000",Amerika,54.6756129,17.4396446
Nissan,370Z Nismo,2020,3.7,350,276,5,"46,815",Jepang,36.5748441,139.2394179
Porsche,Cayman GT4,2021,4,414,309,4.2,"102,550",Jerman,46.5026049,13.8359023
Audi,TT RS,2021,2.5,394,354,3.6,"67,895",Jerman,46.5026049,13.8359023
Chevrolet,Corvette Z06,2023,5.5,625,650,2.6,"85,000",Amerika,54.6756129,17.4396446
Lamborghini,Urus,2022,4,641,626,3.2,"218,009",Italia,42.6384261,12.674297
Mercedes-Benz,AMG GT 63 S,2021,4,630,664,3.1,"162,900",Jerman,46.5026049,13.8359023
Ferrari,Portofino M,2022,3.9,612,560,3.5,"245,000",Italia,42.6384261,12.674297
Bugatti,Chiron,2021,8,1479,1180,2.5,"3,000,000",Prancis,46.603354,1.8883335
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"304,995",Inggris,54.7023545,-3.2765753
Lotus,Evora GT,2021,3.5,416,317,3.8,"100,450",Inggris,54.7023545,-3.2765753
Porsche,Cayman GT4,2022,4,414,309,4.2,"100,200",Jerman,46.5026049,13.8359023
Acura,NSX,2021,3.5,573,476,2.7,"157,500",Jepang,36.5748441,139.2394179
